passage_number,passage_key,translation_run_id,profile_name,profile_label,is_focal,model,candidate_words,reference_words,bleu4,chrfpp,meteor,rouge_l,unigram_f1,trigram_f1,char_trigram_f1,word_edit_similarity,candidate_text,reference_text
1,xin-shi-wei-zhong-01,21,parallage_10_plain_language,Plain Language,false,gpt-5.5,44,42,0.21875895,0.54307427,0.63412322,0.62790698,0.67441860,0.24390244,0.61198738,0.45454545,"The heart-mind is the center. It stays in the middle of the body and rules it like a lord. The eyes, ears, mouth, and heels are its four ministers (helpers to a ruler). This is why the heart-mind is called the “center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,23,parallage_11_learners_translation,Learner's Translation,false,gpt-5.5,254,42,0.02468338,0.26906294,0.39607817,0.22222222,0.25000000,0.09589041,0.20360219,0.12598425,"## Close translation

“The heart/mind is the center. It is situated in the center of the body and thereby rules it. The eyes, ears, mouth, and heels—these four serve as its ministers/assistants. The heart/mind: this is what is called ‘the center.’”

*Note:* 踵 literally means “heel.” The pairing with eyes, ears, and mouth is somewhat unexpected, so I have kept it as “heels” rather than smoothing it into another organ.

## Grammar notes

1. **心**: can mean both “heart” and “mind”; here it is the ruling inner faculty, so “heart/mind” is appropriate.
2. **中**: functions as a noun, “center” or “middle,” not merely the adjective “central.”
3. **心，中**: an appositional statement: “The heart/mind—the center.”
4. **處身之中**: 處 means “to dwell/be situated”; 身之中 means “the middle of the body.”
5. **之** in **身之中**: possessive/attributive marker, “of”: “the body’s center.”
6. **以君之**: 以 introduces the means or consequence: “thereby / by this”; 君 is used verbally, “to rule as lord”; 之 refers back to the body or the whole person.
7. **目、耳、口、踵四者**: “the four things: eyes, ears, mouth, and heels.” 者 nominalizes and gathers the four items.
8. **為相**: 為 means “to serve as / act as”; 相 means “minister, assistant, aide.”
9. **心是謂中**: 是 can mark the preceding term emphatically: “the heart/mind—this is called the center.”
10. **謂**: “to call, to name, to term”; **謂中** = “is called ‘center.’”

## Mini vocabulary

- **心** — heart; mind; inner ruling faculty  
- **中** — center; middle; central position  
- **處** — to dwell; to be situated  
- **身** — body; person  
- **君** — ruler, lord; to rule  
- **目** — eye  
- **耳** — ear  
- **口** — mouth  
- **踵** — heel; to follow upon  
- **相** — minister; assistant; aide  
- **謂** — to call; to term; to say that something is called","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,25,parallage_12_named_entity_explicit,Named Entity Explicit,false,gpt-5.5,212,42,0.05682605,0.34108585,0.45068921,0.24409449,0.27559055,0.12800000,0.22682268,0.11792453,"### Translation

“The heart-mind is the center. It resides in the middle of the body and rules it; the eyes, ears, mouth, and heels—these four serve as its ministers. The heart-mind: this is what is called the center.”

### Named entities and abstract concepts

| Term | Type | Role in passage | Confidence |
|---|---|---|---|
| 心 | concept / body organ | “Heart-mind”; identified as the “center” and as ruler of the body | High |
| 中 | abstract concept | “Center” or “middle”; the defining status/name of the heart-mind | High |
| 身 | body / embodied person | The body within which the heart-mind is situated and over which it rules | High |
| 君 | political metaphor / role | “Ruler” or “lord”; describes the governing function of the heart-mind | High |
| 目 | body organ | Eye(s); one of the four “ministers” serving the heart-mind | High |
| 耳 | body organ | Ear(s); one of the four “ministers” serving the heart-mind | High |
| 口 | body organ | Mouth; one of the four “ministers” serving the heart-mind | High |
| 踵 | body part | Heel(s); one of the four “ministers” serving the heart-mind. Possibly stands for lower bodily movement, but the text only says “heel(s)” | Medium |
| 相 | political metaphor / role | “Minister” or “assistant”; role assigned to the eyes, ears, mouth, and heels in relation to the heart-mind | High |

No proper named entities appear in the passage.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,27,parallage_13_forked_lattice,Forked Lattice,false,gpt-5.5,234,42,0.05683071,0.35387773,0.48711072,0.24460432,0.26086957,0.14705882,0.25136612,0.14102564,"## Ambiguous spans

1. **心，中**
   - “The heart/mind is the center.”
   - “The heart/mind is centrality.”
   - “As for the heart/mind: it is the middle.”

2. **處身之中以君之**
   - “It occupies the middle of the body and thereby rules it.”
   - “Being situated within the body, it acts as its lord.”
   - “It places itself at the body’s center in order to govern it.”

3. **目、耳、口、踵四者為相**
   - “The four—eyes, ears, mouth, and heels—serve as ministers.”
   - “Eyes, ears, mouth, and heels are its assistants.”
   - “The four things, eyes, ears, mouth, and heels, act as aides/counselors.”

4. **心是謂中**
   - “The heart/mind: this is called the center.”
   - “This is why the heart/mind is called ‘central.’”
   - “The heart/mind is what is meant by ‘the middle.’”

## Full translations

### A
The heart/mind is the center. It occupies the middle of the body and thereby rules it; the four—eyes, ears, mouth, and heels—serve as its ministers. The heart/mind: this is called the center.

### B
As for the heart/mind, it is centrality. Being situated within the body, it acts as its lord; eyes, ears, mouth, and heels, these four, are its assistants. This is why the heart/mind is called “the middle.”

### C
The heart/mind is the middle. It places itself at the body’s center in order to govern it, while the four things—eyes, ears, mouth, and heels—act as aides. The heart/mind is what is meant by “central.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,29,parallage_14_uncertainty_annotated,Uncertainty Annotated,false,gpt-5.5,236,42,0.03889386,0.30305047,0.40768958,0.22222222,0.25899281,0.10218978,0.20795107,0.11016949,"## Translation

“The heart/mind is the center: it occupies the middle of the body and rules it as lord; the four—eyes, ears, mouth, and heels/feet—serve as its ministers. This is why the heart/mind is called the center.”

## Sentence confidence

1. **心，中，處身之中以君之，目、耳、口、踵四者為相，心是謂中。**  
   **Confidence: 82/100**  
   **Reasons:** The overall structure is fairly clear: the *xin* 心 is identified with *zhong* 中, placed centrally in the body, and described through a ruler–minister metaphor. Main uncertainty lies in whether **中** should be translated literally as “center” or more philosophically as “centrality/the mean,” and whether **踵** means “heels” literally or “feet” by extension.

## Top 5 risk phrases with alternatives

1. **心**  
   - Chosen: “heart/mind”  
   - Alternatives: “heart,” “mind,” “the heart-mind”  
   - Risk: Classical Chinese 心 often covers both emotional and cognitive functions.

2. **中**  
   - Chosen: “center”  
   - Alternatives: “middle,” “centrality,” “the Mean,” “what is central”  
   - Risk: Could be spatial, conceptual, or moral-philosophical.

3. **處身之中**  
   - Chosen: “occupies the middle of the body”  
   - Alternatives: “is situated at the center of the body,” “dwells within the body’s middle”  
   - Risk: The phrase may be anatomical, metaphorical, or both.

4. **以君之**  
   - Chosen: “rules it as lord”  
   - Alternatives: “takes lordship over it,” “governs them,” “serves as its ruler”  
   - Risk: The pronoun **之** could refer to the body as a whole or to the faculties/organs that follow.

5. **踵**  
   - Chosen: “heels/feet”  
   - Alternatives: “heels,” “feet,” “steps,” “movement”  
   - Risk: Literal meaning is “heel,” but in context it may stand for the feet or bodily movement.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,31,parallage_15_decision_log,Decision Log,false,gpt-5.5,253,42,0.04432341,0.29791666,0.55261455,0.21621622,0.24406780,0.10996564,0.17906137,0.12648221,"## Decision points and alternatives

1. **心**
   - **Alternative:** “heart,” “mind,” or “heart-mind.”
   - **Choice:** “heart-mind.”
   - **Justification:** In Classical Chinese, 心 often includes both cognitive and affective functions; “heart-mind” preserves that range.

2. **中**
   - **Alternative:** “center,” “middle,” or “mean.”
   - **Choice:** “center.”
   - **Justification:** The passage explains 中 spatially as being “in the middle of the body” and politically as ruling, so “center” fits best. “Mean” would add an ethical/philosophical sense not explicit here.

3. **處身之中以君之**
   - **Alternative:** “dwelling in the middle of the body and ruling it,” or “placing itself in the body’s center in order to rule them.”
   - **Choice:** “dwelling in the middle of the body and thereby ruling it.”
   - **Justification:** 之 could refer to the body as a whole, though it may also refer forward/backward to the four organs/parts. The grammar is somewhat compressed.

4. **目、耳、口、踵四者為相**
   - **Alternative:** “the eyes, ears, mouth, and heels are ministers,” or “serve as assistants.”
   - **Choice:** “the four—the eyes, ears, mouth, and heels—serve as ministers.”
   - **Justification:** 相 can mean “minister” or “assistant.” Since 君 “ruler” appears just before, “ministers” preserves the political metaphor.

5. **心是謂中**
   - **Alternative:** “the heart-mind is what is called the center,” or “this is why the heart-mind is called the center.”
   - **Choice:** “The heart-mind: this is what is called the center.”
   - **Justification:** The phrasing is definitional and emphatic.

## Final translation

**The heart-mind is the center: dwelling in the middle of the body, it thereby rules it; the four—the eyes, ears, mouth, and heels—serve as ministers. The heart-mind: this is what is called the center.**","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,32,parallage_audit_pack,Audit Pack,false,gpt-5.5,230,42,0.06726554,0.35125588,0.58394766,0.26470588,0.27205882,0.15671642,0.22259696,0.15652174,"## Translation

“The heart-mind is the center: it dwells in the middle of the body and thereby rules it. The four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the center.”

## Uncertainty notes

- **心** may mean “heart,” “mind,” or “heart-mind”; I use “heart-mind” to preserve both senses.
- **中** can mean “center,” “middle,” or possibly “central governing position.” Here “center” best fits the repeated contrast with bodily parts.
- **君之** literally suggests “to lord/rule over it/them.” The object **之** is ambiguous: it may refer to the body as a whole, or to the other bodily parts.
- **相** means “minister/assistant/counsellor.” “Ministers” preserves the political metaphor of ruler and officials.
- **踵** literally means “heel.” It may stand for the feet or locomotion more generally, but the text says “heel(s),” so I have kept “heels.”

## Red-team alternative

“The heart is the middle: located in the center of the body, it acts as lord over it; the four things—eyes, ears, mouth, and heels—are its aides. This heart is called the middle.”

## Back-translation audit

- “The heart-mind is the center” ⇄ **心，中**
- “dwells in the middle of the body” ⇄ **處身之中**
- “and thereby rules it” ⇄ **以君之**
- “the four—eyes, ears, mouth, and heels” ⇄ **目、耳、口、踵四者**
- “serve as its ministers” ⇄ **為相**
- “The heart-mind is what is called the center” ⇄ **心是謂中**

No external historical context, source attribution, or extra named entities have been added.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,33,parallage_16_adversarial_red_team,Adversarial Red Team,false,gpt-5.5,252,42,0.05908119,0.33594714,0.33874222,0.21088435,0.24489796,0.15172414,0.20881671,0.10317460,"**Primary translation**

“The heart-mind is the center. It occupies the middle of the body and acts as its ruler; the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind: this is what is called the center.”

**Deliberately sceptical alternative translation**

“The heart/mind, the ‘middle’: it is lodged within the body and is made its lord; the four things—eye, ear, mouth, and heel—are assistants. The heart/mind is what is meant by ‘middle.’”

**Where the alternative diverges, and why**

- **心**: I render it as **“heart-mind”** or **“heart/mind”** rather than simply “heart,” because Classical Chinese 心 often covers both the physical heart and the faculty of thought or command.
- **中**: “Center” is plausible, but **“middle”** is more literal and may avoid over-reading it as an abstract doctrine.
- **處身之中**: This can mean **“occupies the middle of the body,”** but more cautiously it may mean simply **“is lodged within the body.”** The anatomical precision is uncertain.
- **以君之**: I translate as **“acts as its ruler,”** but sceptically this could be **“is made its lord”** or “thereby lords over it.” The pronoun **之** is not fully explicit: it likely refers to the body or the whole person, but that is inferred.
- **相**: “Ministers” fits the political metaphor created by **君** “ruler/lord,” but **“assistants”** is a more cautious rendering if one does not want to impose a fully bureaucratic image.
- **踵**: Literally **“heel.”** It may stand for movement or the feet more generally, but the text says 踵, so “heel” is retained rather than expanded to “feet.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,34,parallage_compact_literal,Compact Literal,false,gpt-5.5,37,42,0.21444992,0.55112836,0.65712182,0.65822785,0.68354430,0.29333333,0.68646865,0.57142857,"The heart/mind is the center.  
It occupies the middle of the body and serves as its ruler.  
The eyes, ears, mouth, and heels: these four are its ministers.  
The heart/mind—this is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,35,parallage_17_back_translation_audit,Back Translation Audit,false,gpt-5.5,167,42,0.07212538,0.37146697,0.39679461,0.29665072,0.32535885,0.14634146,0.24663212,0.14970060,"## English translation

The heart-mind is the center: it dwells in the middle of the body and thereby rules it. The eyes, ears, mouth, and heels—these four serve as its ministers/assistants. The heart-mind is what is called “the center.”

## Back-translation into Classical-Chinese-like literal gloss

心者，中也。處於身中，以為其君。目、耳、口、踵四者，為其相。心，是謂中。

## Mismatches / possible drift

- **心** is rendered as “heart-mind,” since it may include both physical heart and governing mind; English separates these more than the source does.
- **中** is translated as “center,” but it may also imply “middle” or possibly a normative “centrality/balance”; the translation favors spatial/governing sense.
- **以君之** is rendered “thereby rules it”; literally it is closer to “by/with [this] it is lord over it” or “takes the role of ruler over it.”
- **相** is rendered “ministers/assistants”; it could mean “ministers,” “aides,” or “supporting counterparts.” The political metaphor is preserved but may be stronger in English.
- **踵** is translated as “heels,” literally; if intended more broadly as the lower limbs/feet, the English may be too narrow.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,37,parallage_idiomatic_reader,Idiomatic Reader,false,gpt-5.5,37,42,0.39014569,0.66626441,0.69975904,0.73417722,0.73417722,0.42666667,0.72727273,0.61904762,"The heart-mind is the center. It is situated at the center of the body and rules it; the four—eyes, ears, mouth, and heels—serve as its ministers. Thus the heart-mind is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,39,parallage_lattice_pack,Lattice Pack,false,gpt-5.5,268,42,0.04641874,0.31195009,0.33035232,0.21794872,0.23225806,0.11764706,0.20147059,0.11194030,"## Ambiguity lattice

| Chinese segment | Defensible readings |
|---|---|
| 心 | “heart”; “mind”; “heart-mind” |
| 中 | “center/middle”; possibly “centrality” or “the mean/equilibrium” |
| 心，中 | “The heart-mind is the center”; “As for the heart-mind: it is centrality” |
| 處身之中 | “dwells/abides in the middle of the body”; “occupies the body’s center”; less literally, “is situated centrally in the person” |
| 以君之 | “and thereby rules it” — with “it” = the body/person; or “rules them” — with “them” = the four organs/parts; 君 can be verbal: “act as ruler/lord over” |
| 目、耳、口、踵 | “eye, ear, mouth, heel”; 踵 may stand for “heel/foot” or bodily movement/contact |
| 四者為相 | “these four serve as ministers/aides”; 相 may mean “minister,” “assistant,” or “supporting counterpart” |
| 心是謂中 | “This is why the heart-mind is called the center”; or “The heart-mind: this is what is meant by ‘centrality/the middle’” |

## Translation 1 — spatial-body and ruler-minister reading

“The heart-mind is the center. It occupies the middle of the body and thereby rules it. The eye, ear, mouth, and heel—these four serve as its ministers. The heart-mind: this is what is called the center.”

## Translation 2 — “mind” and functional hierarchy reading

“The mind is central. Situated at the center of the person, it acts as lord over the body; the four things—eyes, ears, mouth, and heels—are its assistants. This is why the mind is called ‘the middle.’”

## Translation 3 — more literal, preserving uncertainty around 中

“The heart is ‘middle’/centrality: it dwells in the body’s middle and uses this to be lord over it. The eye, the ear, the mouth, and the heel, these four, are ministers. The heart—this is termed 中, ‘the center’ or ‘the mean.’”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,41,parallage_scholarly_edition,Scholarly Edition,false,gpt-5.5,40,42,0.45860926,0.68933316,0.77049310,0.78048780,0.78048780,0.48717949,0.72368421,0.71428571,"“The heart-mind is the center. It dwells in the midst of the body and rules it as lord; the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind: this is what is called the center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,43,parallage_spectrum_pack,Spectrum Pack,false,gpt-5.5,210,42,0.07151924,0.39682785,0.54338536,0.24409449,0.28571429,0.16129032,0.27345309,0.14285714,"### 1. Literal

The heart/mind: the center.  
It dwells in the middle of the body and thereby rules it.  
The four—eyes, ears, mouth, and heels—serve as ministers.  
The heart/mind: this is called “the center.”

### 2. Scholarly

The heart-mind is the “center”: situated at the center of the body, it governs the body. The eyes, ears, mouth, and heels are its four ministers. Thus the heart-mind is what is meant by “center.”

### 3. Plain-language

The heart-mind is the body’s center. It sits in the middle and rules over the body. The eyes, ears, mouth, and feet act like its helpers. That is why the heart-mind is called the center.

### 4. Sceptical

The text presents the heart-mind as “central”: because it is said to occupy the body’s middle, it is treated as the ruler. The eyes, ears, mouth, and heels are cast as subordinate aides. On this basis, the heart-mind is named “the center.”

### 5. Uncertainty-marked

The “heart/mind” is [called] the “center.”  
It is [said to be] located in the middle of the body and to rule it.  
The four—eyes, ears, mouth, and heels / feet [?]—are [its] ministers or assistants.  
The heart/mind: this is what is called “center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,45,parallage_18_mnemonic_translation,Mnemonic Translation,false,gpt-5.5,92,42,0.06465493,0.43129107,0.53287885,0.40298507,0.50746269,0.18461538,0.40140845,0.22826087,"**Translation**

The **heart-mind** is the **center**:  
lodged in the midst of the body, it rules there as lord.  
The eyes, ears, mouth, and heels—these four serve as its ministers.  
Thus the heart-mind is called **the Center**.

**Factual anchors**

- **心**: “heart-mind,” the seat of awareness, judgment, and command.  
- **中**: “center” or “middle”; possibly also carrying the sense of proper centrality.  
- **處身之中**: “dwells/is situated in the middle of the body.”  
- **君之**: “lords over it,” “rules it.”  
- **相**: “ministers,” assistants to a ruler.  
- **踵**: literally “heels”; here it may stand for the feet or bodily movement.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,47,parallage_19_alliterative_mnemonic,Alliterative Mnemonic,false,gpt-5.5,83,42,0.05720380,0.43766586,0.57815385,0.41269841,0.52800000,0.19834711,0.44781784,0.25301205,"**Rhythmic translation**

The **heart-mind**: the **center**.  
It **sits in the body’s middle** and **masters it as lord**.  
**Eyes, ears, mouth, and heels**—these four serve as its **ministers**.  
Thus the **heart-mind** is called the **center**.

**Factual anchors**

| Chinese | Translation anchor |
|---|---|
| 心 | heart / heart-mind |
| 中 | center, middle |
| 處身之中 | dwelling / being placed in the middle of the body |
| 以君之 | to rule it, to act as lord over it |
| 目、耳、口、踵 | eyes, ears, mouth, heels |
| 四者 | the four |
| 為相 | serve as ministers / aides |
| 心是謂中 | the heart-mind is therefore called “the center” |","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
